num_movies,country
21153,United States of America
4094,United Kingdom
3940,France
2254,Germany
2169,Italy
1765,Canada
1648,Japan
964,Spain
912,Russia
828,India
596,Hong Kong
588,Sweden
570,Australia
495,South Korea
447,Belgium
386,Denmark
383,Finland
375,Netherlands
372,China
329,Mexico
319,Poland
291,Brazil
254,Switzerland
254,Argentina
225,Ireland
209,Austria
209,Czech Republic
203,Norway
175,Hungary
169,Greece
165,Turkey
147,Israel
142,Romania
129,Taiwan
128,Portugal
125,South Africa
123,New Zealand
116,Thailand
106,Serbia
106,Iran
90,Luxembourg
83,Philippines
78,Croatia
68,Chile
68,Iceland
59,Estonia
56,Bulgaria
55,Ukraine
41,Singapore
36,Lithuania
35,Bosnia and Herzegovina
34,Colombia
33,Indonesia
33,Morocco
32,Slovenia
30,Georgia
30,Slovakia
30,Peru
29,Latvia
27,United Arab Emirates
25,Egypt
25,Cuba
23,Kazakhstan
20,Soviet Union
19,Venezuela
18,Pakistan
18,Uruguay
18,Tunisia
15,Macedonia
15,Lebanon
14,Qatar
14,Senegal
13,Algeria
13,Puerto Rico
13,Malaysia
11,Palestinian Territory
10,Ecuador
10,Bolivia
10,Burkina Faso
10,Vietnam
9,Jordan
9,Cambodia
9,Belarus
9,Malta
8,Armenia
8,Dominican Republic
8,Liechtenstein
8,Afghanistan
8,Iraq
7,Montenegro
7,Panama
7,Cyprus
6,Aruba
6,Kyrgyz Republic
6,Nepal
6,Nigeria
6,East Germany
6,Guatemala
6,Costa Rica
6,Uzbekistan
5,Mauritania
5,Ethiopia
5,Syrian Arab Republic
5,Bahamas
5,Cameroon
5,Albania
5,Congo
4,Rwanda
4,Jamaica
4,Chad
4,Bhutan
4,Ghana
4,Monaco
4,Yugoslavia
4,Czechoslovakia
3,North Korea
3,Kenya
3,Sri Lanka
3,Lao People's Democratic Republic
3,El Salvador
3,Angola
3,Libyan Arab Jamahiriya
3,Liberia
3,Paraguay
3,Botswana
3,Namibia
3,Nicaragua
3,Tajikistan
3,Mongolia
3,Serbia and Montenegro
3,Zimbabwe
2,Macao
2,Papua New Guinea
2,Bangladesh
2,Uganda
2,Saudi Arabia
2,Tanzania
2,Mali
2,Trinidad and Tobago
2,Cote D'Ivoire
2,Azerbaijan
1,Samoa
1,Moldova
1,Antarctica
1,Barbados
1,Gibraltar
1,Brunei Darussalam
1,Honduras
1,French Southern Territories
1,Cayman Islands
1,Bermuda
1,Myanmar
1,Netherlands Antilles
1,French Polynesia
1,United States Minor Outlying Islands
1,Madagascar
1,Somalia
1,Kuwait
1,Martinique
1,Guinea
