companies,Total,Average,Number
Warner Bros.,63525187272.0,129379200.14663951,491
Universal Pictures,55259190410.0,119350303.2613391,463
Paramount Pictures,48808192922.0,123565045.3721519,395
Twentieth Century Fox Film Corporation,47687746332.0,139846763.43695015,341
Walt Disney Pictures,40837270159.0,277804558.9047619,147
Columbia Pictures,32279735705.0,136778541.12288135,236
New Line Cinema,22173391499.0,111986825.75252526,198
Amblin Entertainment,17343720181.0,255054708.54411766,68
DreamWorks SKG,15475754744.0,198407112.1025641,78
Dune Entertainment,15003789066.0,241996597.83870968,62
Village Roadshow Pictures,14904700343.0,167468543.17977527,89
Relativity Media,14603149665.0,126983910.13043478,115
Touchstone Pictures,14121784861.0,89378385.19620253,158
DreamWorks Animation,13707515604.0,403162223.64705884,34
Legendary Pictures,13468663007.0,336716575.175,40
Metro-Goldwyn-Mayer (MGM),12376790071.0,59791256.38164251,207
Marvel Studios,11699635216.0,615770274.5263158,19
Columbia Pictures Corporation,11349089631.0,81064925.93571429,140
Pixar Animation Studios,11188533734.0,621585207.4444444,18
TSG Entertainment,10157878732.0,274537263.027027,37
Lucasfilm,9898421106.0,449928232.09090906,22
Original Film,9048042462.0,258515498.91428572,35
Jerry Bruckheimer Films,8957441075.0,373226711.4583333,24
Regency Enterprises,8925536872.0,110191813.2345679,81
Summit Entertainment,8609052656.0,141132010.75409836,61
Revolution Sun Studios,8120339217.0,541355947.8,15
Ingenious Film Partners,8104725662.0,300175024.5185185,27
TriStar Pictures,8022366764.0,66300551.76859504,121
Heyday Films,7920012376.0,609231721.2307693,13
WingNut Films,7111004341.0,547000333.9230769,13
Fox 2000 Pictures,6875489565.0,132220953.17307693,52
Dentsu,6853205390.0,380733632.7777778,18
Marvel Enterprises,6538067117.0,344108795.6315789,19
Di Bonaventura Pictures,6428342388.0,321417119.4,20
Lionsgate,6384194669.0,93885215.72058824,68
Canal+,6214655597.0,47440119.0610687,131
DC Entertainment,6212608621.0,388288038.8125,16
Imagine Entertainment,6158026824.0,128292225.5,48
Walt Disney Animation Studios,6053111698.0,465623976.7692308,13
Silver Pictures,6044112169.0,143907432.5952381,42
United Artists,5958308805.0,56745798.14285714,105
Fuji Television Network,5880443721.0,490036976.75,12
Miramax Films,5783693222.0,54563143.60377359,106
Working Title Films,5733215126.0,91003414.6984127,63
Illumination Entertainment,5731765911.0,716470738.875,8
Lightstorm Entertainment,5659843833.0,808549119.0,7
Twentieth Century Fox Animation,5572269143.0,428636087.9230769,13
1492 Pictures,5470573905.0,321798465.0,17
Syncopy,5359855515.0,535985551.5,10
Bad Robot,5277789758.0,439815813.1666667,12
Blue Sky Studios,5274027503.0,479457045.72727275,11
Moving Picture Company (MPC),5202780715.0,400213901.15384614,13
RatPac-Dune Entertainment,5059895423.0,297640907.2352941,17
Scott Free Productions,5042929152.0,132708661.89473684,38
Spyglass Entertainment,4938358559.0,133469150.24324325,37
Eon Productions,4915989899.0,223454086.3181818,22
Atlas Entertainment,4781740803.0,298858800.1875,16
Studio Babelsberg,4744034143.0,163587384.24137932,29
Donners' Company,4741214627.0,296325914.1875,16
Temple Hill Entertainment,4679747861.0,359980604.6923077,13
DC Comics,4625643782.0,256980210.1111111,18
New Regency Pictures,4568021312.0,99304811.13043478,46
